src_ip,dst_ip,protocol,timestamp,src_port,dst_port,protocol_type
52.182.143.208,192.168.0.123,6,1722603830.825889,443.0,53133.0,TCP
192.168.0.123,35.186.224.40,6,1722603831.041389,52427.0,443.0,TCP
35.186.224.40,192.168.0.123,6,1722603831.180497,443.0,52427.0,TCP
35.186.224.40,192.168.0.123,6,1722603831.219985,443.0,52427.0,TCP
192.168.0.123,35.186.224.40,6,1722603831.265190,52427.0,443.0,TCP
192.168.0.123,23.211.137.129,6,1722603831.673411,53127.0,443.0,TCP
192.168.1.1,239.255.255.250,17,1722603832.541649,1900.0,1900.0,UDP
192.168.1.1,239.255.255.250,17,1722603832.541649,1900.0,1900.0,UDP
192.168.1.1,239.255.255.250,17,1722603832.541649,1900.0,1900.0,UDP
192.168.1.1,239.255.255.250,17,1722603832.541649,1900.0,1900.0,UDP
192.168.1.1,239.255.255.250,17,1722603832.541649,1900.0,1900.0,UDP
192.168.1.1,239.255.255.250,17,1722603832.541858,1900.0,1900.0,UDP
192.168.1.1,239.255.255.250,17,1722603832.541858,1900.0,1900.0,UDP
192.168.1.1,239.255.255.250,17,1722603832.544834,1900.0,1900.0,UDP
192.168.1.1,239.255.255.250,17,1722603832.544950,1900.0,1900.0,UDP
192.168.0.123,224.0.0.251,17,1722603840.677201,5353.0,5353.0,UDP
192.168.0.123,224.0.0.252,17,1722603840.677816,51544.0,5355.0,UDP
192.168.0.123,224.0.0.251,17,1722603840.678195,5353.0,5353.0,UDP
192.168.0.123,224.0.0.252,17,1722603841.099863,51544.0,5355.0,UDP
192.168.0.123,192.168.0.255,17,1722603841.100162,137.0,137.0,UDP
192.168.0.123,23.211.137.129,6,1722603841.286153,53127.0,443.0,TCP
192.168.0.123,224.0.0.251,17,1722603841.679021,5353.0,5353.0,UDP
192.168.0.123,224.0.0.251,17,1722603841.693921,5353.0,5353.0,UDP
192.168.0.123,192.168.0.255,17,1722603841.850775,137.0,137.0,UDP
192.168.0.123,192.168.0.255,17,1722603842.603575,137.0,137.0,UDP
192.168.0.123,35.186.224.40,6,1722603842.838589,52635.0,443.0,TCP
35.186.224.40,192.168.0.123,6,1722603842.883348,443.0,52635.0,TCP
35.186.224.40,192.168.0.123,6,1722603843.107044,443.0,52635.0,TCP
192.168.0.123,35.186.224.40,6,1722603843.152024,52635.0,443.0,TCP
192.168.0.123,23.211.137.72,6,1722603844.032292,53136.0,443.0,TCP
23.211.137.72,192.168.0.123,6,1722603844.063994,443.0,53136.0,TCP
23.211.137.72,192.168.0.123,6,1722603844.063994,443.0,53136.0,TCP
192.168.0.123,23.211.137.72,6,1722603844.064036,53136.0,443.0,TCP
192.168.0.123,20.50.88.234,6,1722603844.944332,53139.0,443.0,TCP
20.50.88.234,192.168.0.123,6,1722603845.167045,443.0,53139.0,TCP
20.50.88.234,192.168.0.123,6,1722603845.244711,443.0,53139.0,TCP
20.50.88.234,192.168.0.123,6,1722603845.244757,443.0,53139.0,TCP
192.168.0.123,20.50.88.234,6,1722603845.244768,53139.0,443.0,TCP
192.168.0.123,224.0.0.251,17,1722603846.311078,5353.0,5353.0,UDP
192.168.0.123,239.255.255.250,17,1722603846.778085,63853.0,1900.0,UDP
192.168.0.123,35.186.224.22,6,1722603847.518839,53094.0,443.0,TCP
35.186.224.22,192.168.0.123,6,1722603847.564106,443.0,53094.0,TCP
52.182.143.208,192.168.0.123,6,1722603847.714010,443.0,53134.0,TCP
192.168.0.1,239.255.255.250,17,1722603849.328414,48219.0,1900.0,UDP
192.168.0.1,239.255.255.250,17,1722603849.328414,48219.0,1900.0,UDP
192.168.0.1,239.255.255.250,17,1722603849.329124,48219.0,1900.0,UDP
192.168.0.1,239.255.255.250,17,1722603849.338562,48219.0,1900.0,UDP
192.168.0.1,239.255.255.250,17,1722603849.338749,48219.0,1900.0,UDP
192.168.0.1,239.255.255.250,17,1722603849.338749,48219.0,1900.0,UDP
192.168.0.1,239.255.255.250,17,1722603849.338848,48219.0,1900.0,UDP
192.168.0.1,239.255.255.250,17,1722603849.338848,48219.0,1900.0,UDP
192.168.0.123,104.199.240.237,6,1722603849.611400,52429.0,4070.0,TCP
104.199.240.237,192.168.0.123,6,1722603849.772106,4070.0,52429.0,TCP
192.168.0.123,104.199.240.237,6,1722603849.818151,52429.0,4070.0,TCP
192.168.0.123,185.199.111.133,6,1722603851.685657,53104.0,443.0,TCP
185.199.111.133,192.168.0.123,6,1722603851.729587,443.0,53104.0,TCP
192.168.0.123,35.186.224.24,17,1722603852.194457,54987.0,443.0,UDP
192.168.0.123,35.186.224.24,17,1722603852.194505,54987.0,443.0,UDP
192.168.0.123,35.186.224.24,6,1722603852.194645,52625.0,443.0,TCP
192.168.0.123,35.186.224.24,6,1722603852.194673,52625.0,443.0,TCP
192.168.0.123,35.186.224.24,6,1722603852.194689,52625.0,443.0,TCP
35.186.224.24,192.168.0.123,17,1722603852.246025,443.0,54987.0,UDP
35.186.224.24,192.168.0.123,6,1722603852.246025,443.0,52625.0,TCP
35.186.224.24,192.168.0.123,6,1722603852.246025,443.0,52625.0,TCP
192.168.0.123,35.186.224.24,6,1722603852.293083,52625.0,443.0,TCP
35.186.224.24,192.168.0.123,17,1722603852.319693,443.0,54987.0,UDP
192.168.0.123,35.186.224.24,17,1722603852.320503,54987.0,443.0,UDP
35.186.224.24,192.168.0.123,17,1722603852.361317,443.0,54987.0,UDP
192.168.0.123,35.186.224.24,17,1722603852.361594,54987.0,443.0,UDP
35.186.224.24,192.168.0.123,17,1722603852.361926,443.0,54987.0,UDP
192.168.0.123,35.186.224.24,17,1722603852.362100,54987.0,443.0,UDP
35.186.224.24,192.168.0.123,17,1722603852.385686,443.0,54987.0,UDP
35.186.224.24,192.168.0.123,6,1722603852.409574,443.0,52625.0,TCP
192.168.0.123,35.186.224.24,6,1722603852.410281,52625.0,443.0,TCP
35.186.224.24,192.168.0.123,6,1722603852.455735,443.0,52625.0,TCP
192.168.0.123,192.168.0.255,17,1722603852.976060,57621.0,57621.0,UDP
192.168.0.123,192.168.0.1,17,1722603855.678260,54551.0,53.0,UDP
192.168.0.123,192.168.0.1,17,1722603855.678397,62871.0,53.0,UDP
192.168.0.123,52.37.252.164,6,1722603855.678736,53044.0,443.0,TCP
192.168.0.123,52.37.252.164,6,1722603855.678777,53044.0,443.0,TCP
192.168.0.123,52.37.252.164,6,1722603855.678791,53044.0,443.0,TCP
192.168.0.1,192.168.0.123,17,1722603855.750563,53.0,54551.0,UDP
192.168.0.1,192.168.0.123,17,1722603855.796868,53.0,62871.0,UDP
52.37.252.164,192.168.0.123,6,1722603856.100792,443.0,53044.0,TCP
52.37.252.164,192.168.0.123,6,1722603856.100792,443.0,53044.0,TCP
52.37.252.164,192.168.0.123,6,1722603856.100792,443.0,53044.0,TCP
52.37.252.164,192.168.0.123,6,1722603856.100792,443.0,53044.0,TCP
192.168.0.123,52.37.252.164,6,1722603856.147620,53044.0,443.0,TCP
52.37.252.164,192.168.0.123,6,1722603857.202814,443.0,53044.0,TCP
52.37.252.164,192.168.0.123,6,1722603857.202814,443.0,53044.0,TCP
192.168.0.123,52.37.252.164,6,1722603857.202860,53044.0,443.0,TCP
192.168.0.123,52.37.252.164,6,1722603857.203706,53044.0,443.0,TCP
192.168.0.123,52.37.252.164,6,1722603857.216608,53044.0,443.0,TCP
192.168.0.123,52.37.252.164,6,1722603857.216652,53044.0,443.0,TCP
52.37.252.164,192.168.0.123,6,1722603857.636926,443.0,53044.0,TCP
52.37.252.164,192.168.0.123,6,1722603857.637438,443.0,53044.0,TCP
52.37.252.164,192.168.0.123,6,1722603857.637467,443.0,53044.0,TCP
192.168.0.123,52.37.252.164,6,1722603857.637477,53044.0,443.0,TCP
192.168.0.123,52.37.252.164,6,1722603857.639609,53044.0,443.0,TCP
192.168.0.123,52.37.252.164,6,1722603857.639652,53044.0,443.0,TCP
52.37.252.164,192.168.0.123,6,1722603857.990257,443.0,53044.0,TCP
192.168.0.123,192.168.0.1,17,1722603860.769336,57888.0,53.0,UDP
192.168.0.123,192.168.0.1,17,1722603860.769486,57657.0,53.0,UDP
192.168.0.1,192.168.0.123,17,1722603860.825347,53.0,57888.0,UDP
192.168.0.1,192.168.0.123,17,1722603860.826070,53.0,57657.0,UDP
192.168.0.123,142.250.183.164,17,1722603860.827123,61054.0,443.0,UDP
192.168.0.123,142.250.183.164,17,1722603860.827170,61054.0,443.0,UDP
192.168.0.123,142.250.183.164,17,1722603860.827275,61054.0,443.0,UDP
142.250.183.164,192.168.0.123,17,1722603860.877710,443.0,61054.0,UDP
192.168.0.123,142.250.183.164,17,1722603860.991635,61054.0,443.0,UDP
142.250.183.164,192.168.0.123,17,1722603860.994468,443.0,61054.0,UDP
142.250.183.164,192.168.0.123,17,1722603860.994468,443.0,61054.0,UDP
142.250.183.164,192.168.0.123,17,1722603860.994545,443.0,61054.0,UDP
142.250.183.164,192.168.0.123,17,1722603860.994545,443.0,61054.0,UDP
192.168.0.123,142.250.183.164,17,1722603860.994983,61054.0,443.0,UDP
192.168.0.123,142.250.183.164,17,1722603860.995063,61054.0,443.0,UDP
142.250.183.164,192.168.0.123,17,1722603861.065376,443.0,61054.0,UDP
142.250.183.164,192.168.0.123,17,1722603861.065376,443.0,61054.0,UDP
192.168.0.123,142.250.183.164,17,1722603861.065757,61054.0,443.0,UDP
192.168.0.123,35.186.224.24,6,1722603861.492381,53141.0,443.0,TCP
35.186.224.24,192.168.0.123,6,1722603861.538035,443.0,53141.0,TCP
192.168.0.123,35.186.224.40,6,1722603862.014214,52427.0,443.0,TCP
35.186.224.40,192.168.0.123,6,1722603862.062461,443.0,52427.0,TCP
192.168.0.123,142.250.192.1,6,1722603862.088643,53142.0,443.0,TCP
142.250.192.1,192.168.0.123,6,1722603862.243791,443.0,53142.0,TCP
35.186.224.40,192.168.0.123,6,1722603862.244102,443.0,52427.0,TCP
192.168.0.123,35.186.224.40,6,1722603862.291132,52427.0,443.0,TCP
192.168.1.1,239.255.255.250,17,1722603862.535735,1900.0,1900.0,UDP
192.168.1.1,239.255.255.250,17,1722603862.536598,1900.0,1900.0,UDP
192.168.1.1,239.255.255.250,17,1722603862.537415,1900.0,1900.0,UDP
192.168.1.1,239.255.255.250,17,1722603862.538233,1900.0,1900.0,UDP
192.168.1.1,239.255.255.250,17,1722603862.547903,1900.0,1900.0,UDP
192.168.1.1,239.255.255.250,17,1722603862.547903,1900.0,1900.0,UDP
192.168.1.1,239.255.255.250,17,1722603862.547903,1900.0,1900.0,UDP
192.168.1.1,239.255.255.250,17,1722603862.547903,1900.0,1900.0,UDP
192.168.1.1,239.255.255.250,17,1722603862.548092,1900.0,1900.0,UDP
192.168.0.123,35.186.224.24,6,1722603863.892882,53143.0,443.0,TCP
35.186.224.24,192.168.0.123,6,1722603863.940449,443.0,53143.0,TCP
192.168.0.123,199.232.214.248,6,1722603863.974919,53126.0,443.0,TCP
192.168.0.123,199.232.210.248,6,1722603864.036111,53144.0,443.0,TCP
192.168.0.123,199.232.210.248,6,1722603864.045844,53145.0,443.0,TCP
199.232.214.248,192.168.0.123,6,1722603864.056966,443.0,53126.0,TCP
199.232.210.248,192.168.0.123,6,1722603864.131891,443.0,53144.0,TCP
199.232.210.248,192.168.0.123,6,1722603864.131891,443.0,53145.0,TCP
52.37.252.164,192.168.0.123,6,1722603864.309520,443.0,53044.0,TCP
52.37.252.164,192.168.0.123,6,1722603864.309520,443.0,53044.0,TCP
192.168.0.123,52.37.252.164,6,1722603864.309566,53044.0,443.0,TCP
192.168.0.123,52.37.252.164,6,1722603864.310490,53044.0,443.0,TCP
192.168.0.123,52.37.252.164,6,1722603864.323523,53044.0,443.0,TCP
192.168.0.123,52.37.252.164,6,1722603864.323568,53044.0,443.0,TCP
52.37.252.164,192.168.0.123,6,1722603864.678794,443.0,53044.0,TCP
52.37.252.164,192.168.0.123,6,1722603864.723476,443.0,53044.0,TCP
52.37.252.164,192.168.0.123,6,1722603865.022898,443.0,53044.0,TCP
52.37.252.164,192.168.0.123,6,1722603865.022898,443.0,53044.0,TCP
192.168.0.123,52.37.252.164,6,1722603865.022942,53044.0,443.0,TCP
192.168.0.123,35.186.224.22,6,1722603866.398339,52569.0,443.0,TCP
35.186.224.22,192.168.0.123,6,1722603866.454349,443.0,52569.0,TCP
52.182.143.208,192.168.0.123,6,1722603866.454349,443.0,53133.0,TCP
192.168.0.123,35.186.224.40,6,1722603873.108072,52635.0,443.0,TCP
35.186.224.40,192.168.0.123,6,1722603873.149164,443.0,52635.0,TCP
35.186.224.40,192.168.0.123,6,1722603873.258955,443.0,52635.0,TCP
192.168.0.123,35.186.224.40,6,1722603873.308595,52635.0,443.0,TCP
192.168.0.123,192.168.0.255,17,1722603883.000900,57621.0,57621.0,UDP
192.168.0.123,192.168.0.1,17,1722603886.523829,51227.0,53.0,UDP
192.168.0.123,192.168.0.1,17,1722603886.523977,58209.0,53.0,UDP
192.168.0.1,192.168.0.123,17,1722603886.724911,53.0,51227.0,UDP
192.168.0.1,192.168.0.123,17,1722603886.724911,53.0,58209.0,UDP
192.168.0.123,142.250.70.106,17,1722603886.726309,53138.0,443.0,UDP
192.168.0.123,142.250.70.106,17,1722603886.726402,53138.0,443.0,UDP
192.168.0.123,142.250.70.106,17,1722603886.726523,53138.0,443.0,UDP
142.250.70.106,192.168.0.123,17,1722603886.780130,443.0,53138.0,UDP
192.168.0.123,142.250.70.106,17,1722603886.858322,53138.0,443.0,UDP
142.250.70.106,192.168.0.123,17,1722603886.862653,443.0,53138.0,UDP
142.250.70.106,192.168.0.123,17,1722603886.862653,443.0,53138.0,UDP
142.250.70.106,192.168.0.123,17,1722603886.862653,443.0,53138.0,UDP
142.250.70.106,192.168.0.123,17,1722603886.862653,443.0,53138.0,UDP
142.250.70.106,192.168.0.123,17,1722603886.862653,443.0,53138.0,UDP
192.168.0.123,142.250.70.106,17,1722603886.863374,53138.0,443.0,UDP
192.168.0.123,142.250.70.106,17,1722603886.863464,53138.0,443.0,UDP
192.168.0.123,142.250.70.106,17,1722603886.863667,53138.0,443.0,UDP
192.168.0.123,142.250.70.106,17,1722603886.863699,53138.0,443.0,UDP
142.250.70.106,192.168.0.123,17,1722603886.931198,443.0,53138.0,UDP
142.250.70.106,192.168.0.123,17,1722603886.931273,443.0,53138.0,UDP
142.250.70.106,192.168.0.123,17,1722603886.931284,443.0,53138.0,UDP
142.250.70.106,192.168.0.123,17,1722603886.931295,443.0,53138.0,UDP
192.168.0.123,142.250.70.106,17,1722603886.931562,53138.0,443.0,UDP
192.168.0.123,142.250.70.106,17,1722603886.931689,53138.0,443.0,UDP
142.250.70.106,192.168.0.123,17,1722603886.984636,443.0,53138.0,UDP
142.250.70.106,192.168.0.123,17,1722603886.984636,443.0,53138.0,UDP
192.168.0.123,142.250.70.106,17,1722603886.984903,53138.0,443.0,UDP
192.168.0.123,142.250.70.106,17,1722603887.018599,53138.0,443.0,UDP
192.168.0.123,142.250.70.106,17,1722603887.115156,53138.0,443.0,UDP
142.250.70.106,192.168.0.123,17,1722603887.124018,443.0,53138.0,UDP
142.250.70.106,192.168.0.123,17,1722603887.172260,443.0,53138.0,UDP
192.168.0.123,52.37.230.222,6,1722603889.449179,53138.0,443.0,TCP
52.37.230.222,192.168.0.123,6,1722603889.810704,443.0,53138.0,TCP
192.168.0.123,52.37.230.222,6,1722603889.810743,53138.0,443.0,TCP
192.168.1.1,239.255.255.250,17,1722603892.554533,1900.0,1900.0,UDP
192.168.1.1,239.255.255.250,17,1722603892.554533,1900.0,1900.0,UDP
192.168.1.1,239.255.255.250,17,1722603892.554533,1900.0,1900.0,UDP
192.168.1.1,239.255.255.250,17,1722603892.554533,1900.0,1900.0,UDP
192.168.1.1,239.255.255.250,17,1722603892.554691,1900.0,1900.0,UDP
192.168.1.1,239.255.255.250,17,1722603892.554691,1900.0,1900.0,UDP
192.168.1.1,239.255.255.250,17,1722603892.554691,1900.0,1900.0,UDP
192.168.1.1,239.255.255.250,17,1722603892.554691,1900.0,1900.0,UDP
192.168.1.1,239.255.255.250,17,1722603892.554691,1900.0,1900.0,UDP
192.168.0.123,35.186.224.22,6,1722603892.573934,53094.0,443.0,TCP
35.186.224.22,192.168.0.123,6,1722603892.618698,443.0,53094.0,TCP
192.168.0.123,35.186.224.40,6,1722603893.023743,52427.0,443.0,TCP
35.186.224.40,192.168.0.123,6,1722603893.081940,443.0,52427.0,TCP
35.186.224.40,192.168.0.123,6,1722603893.192299,443.0,52427.0,TCP
192.168.0.123,35.186.224.40,6,1722603893.242376,52427.0,443.0,TCP
192.168.0.123,52.37.252.164,6,1722603895.036610,53044.0,443.0,TCP
192.168.0.123,52.37.252.164,6,1722603895.036656,53044.0,443.0,TCP
192.168.0.123,52.37.252.164,6,1722603895.036668,53044.0,443.0,TCP
52.37.252.164,192.168.0.123,6,1722603895.437135,443.0,53044.0,TCP
52.37.252.164,192.168.0.123,6,1722603895.437135,443.0,53044.0,TCP
52.37.252.164,192.168.0.123,6,1722603895.437135,443.0,53044.0,TCP
52.37.252.164,192.168.0.123,6,1722603895.437135,443.0,53044.0,TCP
52.37.252.164,192.168.0.123,6,1722603895.437878,443.0,53044.0,TCP
192.168.0.123,52.37.252.164,6,1722603895.437900,53044.0,443.0,TCP
